item_id,location_id,customer_id,sale_date,units_sold,total_sales_value
p-30,l-38,c-8,2023-06-30,16,29.93
p-36,l-22,c-85,2023-01-14,3,7.99
p-41,l-37,c-71,2024-08-12,5,44.9
p-16,l-27,c-113,2025-11-11,11,44.64
p-8,l-49,c-107,2024-10-27,8,36.51
p-28,l-30,c-57,2024-08-04,9,41.22
p-3,l-46,c-178,2023-10-22,14,55.37
p-18,l-33,c-65,2023-08-23,6,44.99
p-49,l-5,c-164,2025-03-15,11,19.76
p-19,l-6,c-193,2024-07-08,10,78.02
p-4,l-12,c-164,2024-08-12,11,104.85
p-28,l-24,c-63,2023-08-13,1,5.78
p-36,l-39,c-45,2024-09-15,5,47.8
p-33,l-27,c-95,2023-06-07,8,65.13
p-18,l-8,c-29,2023-02-16,14,40.13
p-45,l-28,c-153,2025-10-22,1,8.62
p-20,l-28,c-109,2025-09-18,9,27.3
p-20,l-26,c-108,2023-11-14,15,116.1
p-19,l-7,c-154,2023-09-09,12,19.95
p-40,l-13,c-56,2023-09-24,15,88.69
p-29,l-37,c-106,2023-08-04,4,11.66
p-50,l-22,c-161,2024-11-04,13,56.39
p-47,l-27,c-11,2023-01-13,19,124.67
p-45,l-22,c-51,2025-03-14,5,22.63
p-8,l-36,c-97,2024-04-13,13,99.74
p-6,l-31,c-32,2024-10-19,7,65.01
p-45,l-30,c-27,2024-10-06,3,25.17
p-13,l-41,c-122,2024-03-04,14,62.31
p-31,l-32,c-143,2025-12-28,17,84.21
p-4,l-34,c-11,2024-03-21,20,41.86
p-16,l-30,c-96,2025-02-06,10,90.83
p-50,l-45,c-103,2025-09-03,18,143.72
p-7,l-14,c-59,2023-04-11,5,31.82
p-40,l-27,c-67,2023-09-07,13,99.08
p-8,l-31,c-159,2025-01-29,14,137.27
p-41,l-24,c-143,2024-07-29,12,59.11
p-5,l-27,c-118,2024-05-11,16,45.05
p-22,l-46,c-71,2023-12-13,11,43.62
p-4,l-27,c-153,2024-11-28,20,38.97
p-11,l-8,c-42,2024-04-23,3,19.5
p-2,l-21,c-146,2023-06-19,6,31.12
p-24,l-8,c-125,2023-12-19,20,50.89
p-38,l-13,c-98,2025-11-04,1,2.18
p-1,l-39,c-29,2024-08-15,13,120.57
p-43,l-24,c-45,2025-01-21,17,78.27
p-35,l-35,c-29,2024-09-04,4,38.45
p-5,l-27,c-62,2024-06-17,15,136.8
p-48,l-21,c-17,2023-09-22,18,35.27
p-40,l-33,c-2,2023-10-02,15,124.68
p-32,l-9,c-49,2025-07-11,5,27.78
p-15,l-43,c-53,2023-10-24,9,60.28
p-17,l-18,c-70,2025-12-11,18,130.77
p-40,l-48,c-184,2024-05-22,16,78.79
p-28,l-9,c-144,2025-04-23,7,41.71
p-14,l-47,c-58,2024-06-09,19,117.9
p-2,l-6,c-41,2024-10-17,2,17.11
p-20,l-31,c-22,2023-04-16,11,57.45
p-37,l-30,c-70,2024-11-30,14,55.66
p-38,l-3,c-137,2023-11-26,18,94.34
p-3,l-33,c-168,2024-12-12,3,5.87
p-21,l-29,c-110,2025-12-30,10,93.17
p-47,l-2,c-98,2024-07-23,15,68.15
p-27,l-30,c-198,2025-06-25,18,99.85
p-17,l-40,c-63,2025-12-16,11,77.81
p-37,l-44,c-17,2024-04-11,17,105.46
p-31,l-6,c-64,2025-11-23,12,82.41
p-39,l-4,c-41,2023-01-10,15,95.12
p-32,l-45,c-101,2025-09-17,11,60.93
p-21,l-29,c-169,2025-04-10,1,8.26
p-39,l-22,c-163,2024-09-13,13,123.27
p-41,l-24,c-45,2023-01-22,6,31.29
p-19,l-35,c-185,2025-03-30,14,28.56
p-22,l-45,c-114,2023-11-28,11,88.62
p-21,l-36,c-91,2025-04-16,19,160.54
p-12,l-6,c-46,2025-10-29,15,118.93
p-45,l-15,c-11,2023-03-05,19,52.99
p-32,l-1,c-178,2023-07-22,3,13.09
p-13,l-44,c-174,2024-03-02,4,27.61
p-29,l-4,c-150,2023-11-28,17,133.93
p-40,l-29,c-36,2024-05-18,7,68.99
p-23,l-44,c-95,2024-08-07,19,35.99
p-5,l-6,c-155,2023-08-22,12,23.19
p-16,l-35,c-88,2023-06-14,9,61.05
p-27,l-23,c-131,2024-11-13,19,48.32
p-41,l-7,c-163,2025-08-16,2,12.81
p-7,l-23,c-7,2023-07-15,20,188.15
p-25,l-29,c-191,2025-04-25,18,54.56
p-30,l-49,c-142,2023-08-25,16,138.61
p-15,l-10,c-66,2025-12-02,16,109.75
p-24,l-40,c-32,2023-08-02,7,32.12
p-50,l-21,c-129,2025-09-26,16,101.42
p-31,l-49,c-2,2025-06-11,19,62.9
p-46,l-36,c-45,2023-08-08,12,17.66
p-17,l-12,c-58,2025-03-08,14,134.28
p-40,l-48,c-155,2025-02-18,14,110.63
p-43,l-44,c-101,2024-05-26,10,82.08
p-40,l-27,c-120,2025-01-30,20,57.83
p-20,l-12,c-123,2023-07-30,3,22.21
p-31,l-32,c-181,2023-06-23,9,29.31
p-26,l-44,c-95,2023-02-13,17,61.64
p-27,l-41,c-29,2025-02-19,12,40.95
p-18,l-22,c-19,2024-04-09,19,90.85
p-9,l-49,c-110,2025-08-12,17,27.11
p-17,l-50,c-92,2025-11-26,3,6.92
p-12,l-16,c-67,2025-07-17,8,42.38
p-35,l-32,c-125,2025-11-13,12,77.88
p-15,l-46,c-5,2025-12-21,16,144.7
p-48,l-26,c-173,2025-06-13,9,37.63
p-8,l-45,c-49,2024-07-19,3,20.79
p-15,l-29,c-160,2025-06-24,11,61.37
p-8,l-40,c-45,2024-02-23,17,97.63
p-23,l-29,c-183,2023-01-19,1,2.34
p-9,l-22,c-100,2023-03-28,6,49
p-27,l-30,c-141,2023-05-26,10,59.03
p-21,l-40,c-178,2023-11-19,14,82.95
p-42,l-10,c-73,2025-09-25,2,11.28
p-16,l-49,c-50,2025-09-19,9,12.84
p-17,l-1,c-43,2023-05-31,19,162.58
p-12,l-12,c-140,2023-03-21,11,107.56
p-24,l-21,c-3,2023-07-31,2,3.74
p-10,l-30,c-10,2025-04-05,13,127.01
p-9,l-12,c-33,2025-12-19,19,92.52
p-47,l-38,c-6,2024-05-23,9,80.65
p-30,l-20,c-46,2025-08-10,8,70.01
p-4,l-13,c-5,2024-11-16,10,24.92
p-25,l-38,c-112,2025-11-25,12,80.61
p-19,l-47,c-120,2023-09-25,5,28.71
p-7,l-3,c-140,2025-11-08,2,3.51
p-50,l-6,c-3,2025-11-11,14,68.67
p-50,l-11,c-102,2025-03-15,13,68.38
p-19,l-23,c-146,2023-04-18,18,119.66
p-44,l-33,c-48,2023-04-08,5,5.67
p-5,l-49,c-87,2023-05-21,13,84.69
p-47,l-16,c-170,2023-08-18,9,18.89
p-16,l-42,c-71,2024-02-17,11,37.67
p-6,l-47,c-72,2025-06-24,20,184.43
p-33,l-22,c-70,2023-06-13,4,10.21
p-6,l-4,c-176,2023-05-24,9,57.59
p-20,l-22,c-45,2024-06-06,12,95.23
p-34,l-25,c-11,2024-02-28,7,66.23
p-6,l-27,c-112,2024-09-06,1,3.03
p-33,l-33,c-143,2023-05-13,18,95.31
p-13,l-43,c-143,2025-05-02,9,42.85
p-35,l-45,c-94,2025-12-04,20,163.1
p-11,l-3,c-9,2024-04-04,14,57.81
p-30,l-50,c-14,2025-04-16,9,47.2
p-1,l-44,c-53,2024-05-20,2,13.49
p-49,l-14,c-57,2024-09-18,7,64.01
p-22,l-6,c-11,2023-09-09,17,25.08
p-14,l-15,c-106,2024-12-29,14,16.22
p-49,l-17,c-10,2024-07-16,12,60.07
p-14,l-1,c-52,2023-11-16,18,134.84
p-2,l-2,c-106,2024-03-19,8,46.28
p-28,l-34,c-16,2024-08-11,18,39.59
p-14,l-31,c-11,2023-03-27,13,26.57
p-23,l-31,c-135,2023-09-14,15,106
p-19,l-29,c-176,2024-04-06,14,68.82
p-33,l-29,c-131,2024-09-11,1,1.23
p-10,l-35,c-10,2024-08-12,16,155.6
p-43,l-25,c-26,2024-08-07,19,178.03
p-17,l-30,c-75,2024-09-05,14,98.79
p-50,l-23,c-179,2023-10-08,20,21.22
p-19,l-9,c-23,2023-04-02,9,80.63
p-42,l-47,c-86,2024-09-30,7,34.47
p-25,l-14,c-23,2024-06-09,9,72.85
p-12,l-23,c-193,2025-11-12,3,11.11
p-36,l-26,c-193,2024-03-13,14,50.08
p-14,l-17,c-195,2023-10-11,19,175.29
p-36,l-43,c-82,2025-11-04,9,9.13
p-4,l-20,c-139,2024-09-25,18,161.93
p-18,l-1,c-76,2024-02-04,14,91.72
p-44,l-7,c-103,2024-08-27,6,43.31
p-14,l-33,c-140,2025-06-06,19,158.72
p-8,l-21,c-153,2023-06-22,19,157.5
p-24,l-40,c-132,2023-02-16,14,77.9
p-8,l-26,c-107,2023-07-04,9,87.55
p-48,l-4,c-145,2024-08-31,14,79.98
p-33,l-21,c-194,2025-05-11,6,56.15
p-16,l-43,c-126,2023-03-11,8,64.67
p-49,l-44,c-90,2025-05-17,11,77.38
p-22,l-26,c-79,2024-10-01,7,25.07
p-24,l-6,c-196,2024-07-14,10,28.4
p-49,l-41,c-2,2023-01-19,9,36.15
p-16,l-44,c-20,2025-11-28,10,50.72
p-34,l-18,c-193,2023-03-08,17,158.33
p-29,l-40,c-77,2024-01-27,19,152.76
p-50,l-35,c-25,2023-04-18,16,52.24
p-9,l-40,c-134,2023-05-05,15,93.02
p-27,l-48,c-87,2023-03-23,8,16.88
p-8,l-47,c-12,2023-03-26,4,32.73
p-39,l-26,c-193,2025-06-09,2,5.76
p-4,l-15,c-115,2024-05-19,10,69.34
p-3,l-30,c-90,2025-11-06,12,52.18
p-49,l-35,c-150,2023-10-16,19,117.4
p-15,l-17,c-61,2024-12-06,14,34.66
p-47,l-15,c-191,2023-01-15,5,32.94
p-25,l-37,c-49,2024-11-22,8,50.07
p-44,l-38,c-36,2025-06-17,4,4.73
p-19,l-1,c-37,2024-04-18,17,22.55
p-33,l-31,c-62,2024-04-25,17,23.41
p-17,l-18,c-146,2023-02-18,4,13.28
p-19,l-41,c-106,2023-03-02,16,32.76
p-34,l-13,c-153,2023-12-20,8,75.56
p-43,l-46,c-2,2025-11-06,6,6.46
p-35,l-46,c-100,2023-10-29,10,78.27
p-1,l-46,c-65,2024-04-09,3,12.69
p-27,l-25,c-61,2025-08-05,8,27.94
p-41,l-44,c-121,2024-09-21,11,95.3
p-40,l-7,c-114,2023-07-19,9,72.4
p-14,l-49,c-51,2023-04-08,5,38.88
p-44,l-25,c-117,2025-08-03,4,28.5
p-40,l-30,c-161,2024-03-05,4,22.47
p-3,l-7,c-27,2023-07-18,14,72.6
p-45,l-33,c-34,2025-11-25,18,149.14
p-36,l-5,c-200,2024-03-05,3,4.13
p-10,l-45,c-153,2025-02-26,11,30.31
p-3,l-38,c-87,2025-12-18,8,56.13
p-10,l-44,c-130,2023-03-21,4,23.66
p-23,l-3,c-151,2025-06-11,16,105.96
p-7,l-13,c-107,2024-07-25,3,15.21
p-49,l-38,c-145,2025-09-06,10,11.18
p-3,l-25,c-141,2023-03-06,18,112.35
p-25,l-39,c-90,2023-12-15,13,69.73
p-29,l-49,c-126,2023-07-10,16,65.12
p-18,l-1,c-31,2023-05-25,17,153.15
p-29,l-31,c-116,2024-06-12,20,127.33
p-43,l-10,c-17,2023-06-17,3,16.64
p-34,l-8,c-35,2023-07-16,4,29.02
p-41,l-3,c-84,2024-06-08,10,48.75
p-22,l-13,c-145,2025-05-03,12,79.62
p-43,l-35,c-155,2025-04-19,12,89.12
p-22,l-9,c-57,2023-07-24,6,15.94
p-14,l-6,c-59,2025-02-16,6,41.61
p-14,l-43,c-9,2025-06-04,15,33.24
p-12,l-15,c-6,2025-11-10,18,34.35
p-17,l-13,c-60,2023-07-16,18,174.02
p-37,l-4,c-126,2023-03-05,20,188.05
p-46,l-38,c-59,2025-07-17,6,58.64
p-26,l-43,c-120,2025-10-28,7,16.53
p-49,l-29,c-138,2023-02-22,4,19.54
p-28,l-5,c-196,2025-02-23,18,142.55
p-43,l-29,c-107,2024-04-09,12,37.64
p-4,l-39,c-9,2025-04-17,18,53.36
p-11,l-6,c-90,2024-04-28,8,56.45
p-42,l-6,c-156,2025-09-10,9,86.2
p-31,l-25,c-123,2025-05-21,17,125.22
p-8,l-12,c-47,2023-10-29,18,140.85
p-33,l-14,c-57,2024-02-29,9,50.32
p-32,l-6,c-178,2023-07-29,18,99.56
p-47,l-2,c-164,2023-03-11,15,131.24
p-8,l-31,c-89,2025-08-22,10,33.82
p-37,l-13,c-27,2023-02-19,5,37.81
p-48,l-26,c-68,2024-12-08,16,79.23
p-34,l-38,c-119,2024-04-09,10,24.63
p-12,l-23,c-105,2023-06-14,14,108.95
p-16,l-47,c-167,2023-06-04,14,128.04
p-27,l-33,c-67,2024-05-22,9,60.46
p-17,l-6,c-169,2025-08-19,14,40.47
p-14,l-21,c-154,2025-02-14,17,62.13
p-30,l-9,c-80,2025-01-31,16,129.9
p-10,l-16,c-1,2023-05-25,20,66.73
p-18,l-45,c-101,2023-09-11,9,78
p-4,l-39,c-73,2024-07-25,11,77.49
p-11,l-46,c-144,2023-07-06,12,75.68
p-17,l-1,c-189,2024-03-10,10,53.83
p-13,l-39,c-30,2024-10-20,11,33.79
p-31,l-8,c-3,2025-07-27,13,79.23
p-14,l-49,c-54,2023-07-08,8,54.33
p-24,l-6,c-118,2023-12-16,5,10.49
p-34,l-15,c-170,2024-07-29,12,48.35
p-7,l-38,c-8,2024-05-11,3,23.5
p-44,l-7,c-171,2025-01-04,19,33.38
p-9,l-26,c-57,2023-01-29,9,87.62
p-22,l-40,c-16,2023-06-12,12,41.38
p-9,l-29,c-68,2025-02-21,7,29.25
p-32,l-31,c-51,2023-07-19,14,78.67
p-33,l-35,c-176,2025-11-13,8,39.4
p-50,l-5,c-142,2024-09-04,4,10.09
p-48,l-36,c-53,2025-01-14,3,14.22
p-12,l-31,c-101,2025-10-08,11,12.71
p-7,l-11,c-39,2023-11-03,7,60.24
p-47,l-6,c-67,2024-10-26,4,11.7
p-34,l-45,c-19,2023-04-04,8,42.85
p-35,l-33,c-112,2023-10-01,20,68.85
p-15,l-44,c-193,2025-06-13,4,28.07
p-30,l-20,c-58,2023-05-10,19,59.46
p-11,l-34,c-57,2024-07-19,6,55.22
p-41,l-5,c-170,2023-08-29,10,53.19
p-20,l-38,c-194,2025-04-23,2,11.75
p-22,l-12,c-149,2025-01-24,10,86.78
p-33,l-20,c-160,2024-04-24,17,101.09
p-13,l-31,c-122,2023-08-08,4,24.21
p-5,l-49,c-182,2023-03-29,16,133.04
p-39,l-44,c-79,2025-09-28,2,12.54
p-47,l-40,c-156,2025-04-18,1,4.61
p-35,l-48,c-170,2023-07-19,7,26.75
p-21,l-18,c-127,2023-02-13,6,56.8
p-31,l-23,c-140,2023-04-10,9,30.95
p-3,l-37,c-160,2023-05-10,12,112.25
p-45,l-40,c-124,2025-12-12,17,135.68
p-33,l-24,c-57,2025-05-06,18,55.03
p-8,l-34,c-196,2024-02-17,8,39.64
p-7,l-29,c-185,2024-02-21,12,111.4
p-9,l-45,c-150,2025-10-02,16,42.75
p-29,l-36,c-142,2024-05-27,10,25.88
p-14,l-34,c-58,2023-03-02,18,79.23
p-1,l-46,c-175,2023-06-30,8,39.95
p-16,l-33,c-40,2024-04-26,1,1.53
p-15,l-50,c-71,2025-10-20,7,34.81
p-31,l-46,c-180,2023-03-30,7,41.85
p-42,l-17,c-65,2024-07-17,11,84.67
p-4,l-24,c-63,2024-12-12,8,51.53
p-32,l-38,c-175,2024-04-02,19,98.97
p-35,l-13,c-107,2025-11-15,4,24.81
p-37,l-29,c-42,2025-12-07,8,77.2
p-15,l-12,c-118,2023-10-13,12,72.89
p-30,l-21,c-68,2024-08-08,5,48.8
p-23,l-25,c-158,2024-04-07,11,39.05
p-1,l-24,c-126,2025-12-27,19,159.04
p-3,l-18,c-100,2025-11-08,18,131.51
p-16,l-12,c-139,2025-12-10,17,51.69
p-14,l-19,c-137,2023-05-07,18,43.56
p-44,l-46,c-133,2023-06-13,2,13.82
p-33,l-16,c-185,2023-03-24,18,28.95
p-28,l-44,c-153,2024-07-18,4,5.59
p-48,l-34,c-116,2023-11-14,4,24.17
p-49,l-7,c-179,2025-06-02,1,7.28
p-7,l-18,c-143,2024-07-15,9,44.07
p-20,l-6,c-113,2025-08-18,1,3
p-38,l-9,c-14,2025-01-06,6,22.21
p-19,l-23,c-48,2025-05-03,5,31.61
p-22,l-36,c-132,2025-03-11,15,147.16
p-37,l-29,c-169,2024-11-10,9,32.1
p-23,l-15,c-49,2024-06-14,20,61.06
p-41,l-40,c-13,2025-03-05,18,128.69
p-4,l-1,c-170,2023-01-12,3,24.36
p-28,l-48,c-111,2023-01-08,3,20.89
p-22,l-31,c-101,2024-02-02,9,33.41
p-4,l-32,c-67,2023-04-14,3,14.5
p-21,l-26,c-59,2023-10-22,11,106.16
p-2,l-46,c-79,2025-11-14,12,105.95
p-7,l-46,c-76,2023-12-20,20,195.82
p-3,l-5,c-184,2025-11-15,13,119.31
p-33,l-13,c-54,2023-09-22,5,34.52
p-6,l-24,c-23,2023-04-27,1,9.46
p-27,l-34,c-27,2024-08-03,20,179.66
p-22,l-1,c-67,2024-05-17,5,17.49
p-2,l-33,c-194,2023-08-01,17,126.47
p-25,l-17,c-17,2025-05-09,15,24.69
p-35,l-14,c-193,2024-08-31,10,67.72
p-45,l-48,c-161,2024-04-06,17,149.39
p-12,l-21,c-24,2025-12-06,14,81.3
p-8,l-17,c-85,2023-02-24,15,21.37
p-43,l-10,c-83,2024-09-22,15,127.07
p-8,l-19,c-148,2024-04-23,2,2.23
p-4,l-7,c-131,2023-12-20,9,58.86
p-11,l-2,c-191,2023-11-06,1,3.37
p-46,l-29,c-199,2024-12-25,19,73.05
p-45,l-24,c-174,2023-08-11,11,42.73
p-24,l-48,c-83,2024-02-18,2,4.12
p-28,l-25,c-76,2025-09-30,13,65.52
p-26,l-27,c-159,2024-08-30,11,48.58
p-45,l-46,c-60,2024-01-16,15,93.82
p-44,l-50,c-176,2024-04-20,2,2.93
p-50,l-21,c-105,2025-08-02,3,5.42
p-31,l-22,c-85,2025-02-04,14,75.71
p-3,l-12,c-30,2025-09-15,7,19.94
p-7,l-38,c-159,2024-02-27,7,46.74
p-18,l-48,c-34,2024-09-08,4,10.34
p-48,l-22,c-78,2024-03-03,15,25.62
p-33,l-32,c-69,2025-10-27,15,144.92
p-40,l-19,c-45,2024-07-03,14,52.77
p-44,l-17,c-118,2023-02-07,13,88.77
p-14,l-41,c-197,2024-02-11,13,126.45
p-18,l-29,c-14,2023-01-20,9,9.37
p-46,l-20,c-83,2023-06-25,5,43.29
p-17,l-10,c-81,2025-07-11,20,62.19
p-10,l-1,c-151,2024-01-21,18,75.48
p-8,l-42,c-58,2024-10-15,1,7.2
p-49,l-31,c-7,2024-09-30,5,26.93
p-24,l-47,c-36,2023-03-29,3,12.26
p-47,l-37,c-97,2025-08-16,15,30.24
p-10,l-2,c-158,2024-01-21,9,58.27
p-31,l-2,c-170,2023-10-24,14,125.98
p-4,l-23,c-101,2025-10-02,11,46.88
p-26,l-34,c-157,2025-08-11,1,8.37
p-43,l-35,c-59,2023-08-22,12,75.62
p-12,l-37,c-102,2024-03-17,5,25.65
p-37,l-40,c-34,2025-11-11,9,10.56
p-39,l-9,c-63,2024-02-11,9,88.71
p-46,l-46,c-65,2024-02-26,14,138.94
p-20,l-29,c-37,2025-04-16,14,29.9
p-23,l-46,c-27,2024-06-18,15,86.33
p-28,l-15,c-166,2023-05-24,20,121.59
p-45,l-21,c-101,2024-04-20,11,90.37
p-18,l-7,c-60,2024-11-05,16,145.02
p-7,l-10,c-115,2024-07-03,9,54.38
p-40,l-21,c-159,2024-04-17,16,145.67
p-5,l-27,c-141,2025-09-16,12,84.6
p-2,l-2,c-63,2024-08-01,18,78.55
p-32,l-18,c-193,2024-12-18,11,96.27
p-9,l-12,c-54,2024-08-02,4,5.1
p-18,l-17,c-70,2023-12-13,4,17.96
p-16,l-21,c-200,2024-08-22,8,30.21
p-36,l-37,c-38,2025-07-14,19,86.19
p-23,l-46,c-124,2024-12-03,16,129.97
p-41,l-39,c-198,2023-09-08,18,179.03
p-37,l-44,c-193,2024-08-06,7,39.69
p-43,l-44,c-47,2024-10-19,17,27.19
p-26,l-8,c-160,2023-02-15,11,38.16
p-41,l-13,c-71,2024-10-13,15,48.8
p-24,l-47,c-132,2023-07-12,15,94.72
p-49,l-9,c-61,2023-12-13,16,36.4
p-4,l-41,c-31,2024-08-01,4,15.04
p-44,l-3,c-127,2023-02-17,3,20.98
p-15,l-50,c-153,2025-02-10,8,78.02
p-26,l-24,c-155,2024-05-02,8,44.49
p-48,l-34,c-188,2024-05-19,18,98.74
p-45,l-35,c-112,2024-10-18,4,16.56
p-24,l-40,c-127,2023-02-09,10,15
p-37,l-12,c-44,2024-06-30,11,26.05
p-38,l-23,c-160,2025-07-30,14,98.15
p-10,l-17,c-95,2023-11-25,15,22.29
p-41,l-13,c-166,2023-10-14,1,6.96
p-43,l-21,c-135,2025-03-19,12,37.12
p-23,l-17,c-183,2025-06-30,4,9.18
p-47,l-32,c-21,2023-04-15,11,61.65
p-27,l-44,c-38,2024-01-08,19,184.88
p-49,l-31,c-159,2024-11-05,15,67.89
p-6,l-29,c-112,2025-11-21,8,41.94
p-23,l-16,c-145,2024-01-04,8,30.53
p-25,l-10,c-36,2024-05-16,18,107.37
p-39,l-47,c-103,2024-09-26,18,28.23
p-35,l-25,c-40,2025-09-18,17,133.56
p-19,l-7,c-176,2024-09-15,13,49.25
p-10,l-50,c-82,2024-01-25,19,162.79
p-29,l-13,c-27,2023-02-24,7,65.61
p-25,l-15,c-9,2024-09-03,16,153.07
p-39,l-47,c-95,2023-01-14,8,28.79
p-19,l-14,c-93,2025-09-07,18,119.71
p-34,l-31,c-38,2023-09-18,2,5.47
p-33,l-38,c-187,2023-12-02,19,189.31
p-32,l-31,c-153,2023-03-20,16,37.71
p-46,l-47,c-139,2025-12-11,18,106.48
p-29,l-31,c-74,2025-11-26,4,36.26
p-2,l-48,c-199,2024-05-31,7,8.98
p-25,l-13,c-163,2023-01-11,9,62.6
p-2,l-25,c-184,2025-06-03,3,18.19
p-42,l-21,c-63,2025-04-23,11,103.67
p-35,l-47,c-72,2024-06-28,11,99.33
p-30,l-43,c-122,2024-01-28,7,69.69
p-7,l-40,c-20,2025-09-14,8,55.66
p-35,l-35,c-96,2023-05-05,15,86.21
p-7,l-18,c-110,2024-10-10,12,73.98
p-14,l-27,c-165,2023-12-16,3,22.13
p-42,l-3,c-96,2024-06-05,9,49.25
p-3,l-12,c-160,2025-05-28,18,127.86
p-1,l-33,c-51,2024-04-23,17,63.27
p-19,l-9,c-10,2024-05-05,2,4.21
p-38,l-23,c-195,2024-03-22,3,12.76
p-21,l-13,c-121,2023-01-04,3,16.61
p-38,l-32,c-107,2025-03-10,12,63.98
p-6,l-40,c-81,2024-06-07,17,94.55
p-24,l-28,c-187,2024-03-23,20,179.34
p-15,l-31,c-97,2025-10-11,16,43.72
p-23,l-5,c-133,2024-11-18,1,4.07
p-40,l-42,c-104,2024-03-04,11,65.43
p-46,l-2,c-174,2024-09-16,6,19.2
p-24,l-16,c-170,2024-08-03,12,89.15
p-17,l-36,c-80,2025-10-05,7,20.28
p-20,l-18,c-179,2024-05-28,3,23.19
p-18,l-47,c-71,2025-05-31,1,4.09
p-11,l-47,c-131,2025-07-14,2,9.77
p-44,l-4,c-29,2024-09-21,9,11.88
p-47,l-11,c-183,2023-09-11,11,52.58
p-26,l-41,c-54,2025-04-26,15,107.37
p-33,l-37,c-69,2025-12-02,8,72.21
p-14,l-5,c-65,2025-05-27,12,47.98
p-26,l-2,c-165,2025-01-18,6,34.14
p-9,l-42,c-191,2024-09-24,15,109.26
p-18,l-40,c-14,2023-05-12,8,53.13
p-28,l-11,c-108,2025-09-07,8,66.38
p-23,l-30,c-39,2024-10-10,20,103.48
p-4,l-38,c-8,2023-04-07,14,122.86
p-8,l-24,c-121,2024-10-13,19,162.98
p-21,l-39,c-4,2023-11-04,17,157.18
p-13,l-9,c-196,2023-08-21,4,24.77
p-40,l-4,c-197,2023-06-11,4,28.93
p-39,l-40,c-40,2024-02-13,11,66.33
p-49,l-16,c-142,2024-04-08,8,28.53
p-4,l-37,c-136,2023-01-26,7,21.92
p-40,l-3,c-141,2025-11-07,8,63.54
p-23,l-50,c-142,2023-08-06,14,43.98
p-39,l-10,c-131,2025-01-19,16,43.35
p-32,l-11,c-29,2023-01-24,17,49.45
p-41,l-8,c-170,2024-12-17,14,87.66
p-41,l-21,c-106,2024-08-22,2,9.05
p-10,l-14,c-178,2025-09-10,18,100
p-43,l-30,c-97,2024-01-19,12,25.66
p-9,l-5,c-41,2023-09-04,8,43.78
p-30,l-25,c-157,2024-11-05,2,4.03
p-40,l-36,c-72,2025-10-01,12,30.58
p-23,l-19,c-66,2024-12-03,15,88.76
